C000  4C F5 C5  JMP $C5F5                       A:00 X:00 Y:00 P:24 SP:FD
C7A8  4C AF C7  JMP $C7AF                       A:00 X:00 Y:00 P:26 SP:FB
C7AF  EA        NOP                             A:00 X:00 Y:00 P:26 SP:FB
C7B0  A9 00     LDA #$00                        A:00 X:00 Y:00 P:26 SP:FB
C7B2  10 04     BPL $C7B8                       A:00 X:00 Y:00 P:26 SP:FB
C7B8  EA        NOP                             A:00 X:00 Y:00 P:26 SP:FB
C7B9  A9 80     LDA #$80                        A:00 X:00 Y:00 P:26 SP:FB
C7BB  10 03     BPL $C7C0                       A:80 X:00 Y:00 P:A4 SP:FB
C7BD  4C D9 C7  JMP $C7D9                       A:80 X:00 Y:00 P:A4 SP:FB
C7D9  EA        NOP                             A:80 X:00 Y:00 P:A4 SP:FB
C7DA  60        RTS                             A:80 X:00 Y:00 P:A4 SP:FB
C600  20 DB C7  JSR $C7DB                       A:80 X:00 Y:00 P:A4 SP:FD
C7DB  EA        NOP                             A:80 X:00 Y:00 P:A4 SP:FB
C7DC  A9 FF     LDA #$FF                        A:80 X:00 Y:00 P:A4 SP:FB
C7DE  85 01     STA $01 = 00                    A:FF X:00 Y:00 P:A4 SP:FB
C7E0  24 01     BIT $01 = FF                    A:FF X:00 Y:00 P:A4 SP:FB
C7E2  A9 00     LDA #$00                        A:FF X:00 Y:00 P:E4 SP:FB
C7E4  38        SEC                             A:00 X:00 Y:00 P:66 SP:FB
C7E5  78        SEI                             A:00 X:00 Y:00 P:67 SP:FB
C7E6  F8        SED                             A:00 X:00 Y:00 P:67 SP:FB
C7E7  08        PHP                             A:00 X:00 Y:00 P:6F SP:FB
C7E8  68        PLA                             A:00 X:00 Y:00 P:6F SP:FA
C7E9  29 EF     AND #$EF                        A:7F X:00 Y:00 P:6D SP:FB
C7EB  C9 6F     CMP #$6F                        A:6F X:00 Y:00 P:6D SP:FB
C7ED  F0 04     BEQ $C7F3                       A:6F X:00 Y:00 P:6F SP:FB
C7F3  EA        NOP                             A:6F X:00 Y:00 P:6F SP:FB
C7F4  A9 40     LDA #$40                        A:6F X:00 Y:00 P:6F SP:FB
C7F6  85 01     STA $01 = FF                    A:40 X:00 Y:00 P:6D SP:FB
C7F8  24 01     BIT $01 = 40                    A:40 X:00 Y:00 P:6D SP:FB
C7FA  D8        CLD                             A:40 X:00 Y:00 P:6D SP:FB
C7FB  A9 10     LDA #$10                        A:40 X:00 Y:00 P:65 SP:FB
C7FD  18        CLC                             A:10 X:00 Y:00 P:65 SP:FB
C7FE  08        PHP                             A:10 X:00 Y:00 P:64 SP:FB
C7FF  68        PLA                             A:10 X:00 Y:00 P:64 SP:FA
C800  29 EF     AND #$EF                        A:74 X:00 Y:00 P:64 SP:FB
C802  C9 64     CMP #$64                        A:64 X:00 Y:00 P:64 SP:FB
C804  F0 04     BEQ $C80A                       A:64 X:00 Y:00 P:67 SP:FB
C80A  EA        NOP                             A:64 X:00 Y:00 P:67 SP:FB
C80B  A9 80     LDA #$80                        A:64 X:00 Y:00 P:67 SP:FB
C80D  85 01     STA $01 = 40                    A:80 X:00 Y:00 P:E5 SP:FB
C80F  24 01     BIT $01 = 80                    A:80 X:00 Y:00 P:E5 SP:FB
C811  F8        SED                             A:80 X:00 Y:00 P:A5 SP:FB
C812  A9 00     LDA #$00                        A:80 X:00 Y:00 P:AD SP:FB
C814  38        SEC                             A:00 X:00 Y:00 P:2F SP:FB
C815  08        PHP                             A:00 X:00 Y:00 P:2F SP:FB
C816  68        PLA                             A:00 X:00 Y:00 P:2F SP:FA
C817  29 EF     AND #$EF                        A:3F X:00 Y:00 P:2D SP:FB
C819  C9 2F     CMP #$2F                        A:2F X:00 Y:00 P:2D SP:FB
C81B  F0 04     BEQ $C821                       A:2F X:00 Y:00 P:2F SP:FB
C821  EA        NOP                             A:2F X:00 Y:00 P:2F SP:FB
C822  A9 FF     LDA #$FF                        A:2F X:00 Y:00 P:2F SP:FB
C824  48        PHA                             A:FF X:00 Y:00 P:AD SP:FB
C825  28        PLP                             A:FF X:00 Y:00 P:AD SP:FA
C826  D0 09     BNE $C831                       A:FF X:00 Y:00 P:EF SP:FB
C828  10 07     BPL $C831                       A:FF X:00 Y:00 P:EF SP:FB
C82A  50 05     BVC $C831                       A:FF X:00 Y:00 P:EF SP:FB
C82C  90 03     BCC $C831                       A:FF X:00 Y:00 P:EF SP:FB
C82E  4C 35 C8  JMP $C835                       A:FF X:00 Y:00 P:EF SP:FB
C835  EA        NOP                             A:FF X:00 Y:00 P:EF SP:FB
C836  A9 04     LDA #$04                        A:FF X:00 Y:00 P:EF SP:FB
C838  48        PHA                             A:04 X:00 Y:00 P:6D SP:FB
C839  28        PLP                             A:04 X:00 Y:00 P:6D SP:FA
C83A  F0 09     BEQ $C845                       A:04 X:00 Y:00 P:24 SP:FB
C83C  30 07     BMI $C845                       A:04 X:00 Y:00 P:24 SP:FB
C83E  70 05     BVS $C845                       A:04 X:00 Y:00 P:24 SP:FB
C840  B0 03     BCS $C845                       A:04 X:00 Y:00 P:24 SP:FB
C842  4C 49 C8  JMP $C849                       A:04 X:00 Y:00 P:24 SP:FB
C849  EA        NOP                             A:04 X:00 Y:00 P:24 SP:FB
C84A  F8        SED                             A:04 X:00 Y:00 P:24 SP:FB
C84B  A9 FF     LDA #$FF                        A:04 X:00 Y:00 P:2C SP:FB
C84D  85 01     STA $01 = 80                    A:FF X:00 Y:00 P:AC SP:FB
C84F  24 01     BIT $01 = FF                    A:FF X:00 Y:00 P:AC SP:FB
C851  18        CLC                             A:FF X:00 Y:00 P:EC SP:FB
C852  A9 00     LDA #$00                        A:FF X:00 Y:00 P:EC SP:FB
C854  48        PHA                             A:00 X:00 Y:00 P:6E SP:FB
C855  A9 FF     LDA #$FF                        A:00 X:00 Y:00 P:6E SP:FA
C857  68        PLA                             A:FF X:00 Y:00 P:EC SP:FA
C858  D0 09     BNE $C863                       A:00 X:00 Y:00 P:6E SP:FB
C85A  30 07     BMI $C863                       A:00 X:00 Y:00 P:6E SP:FB
C85C  50 05     BVC $C863                       A:00 X:00 Y:00 P:6E SP:FB
C85E  B0 03     BCS $C863                       A:00 X:00 Y:00 P:6E SP:FB
C860  4C 67 C8  JMP $C867                       A:00 X:00 Y:00 P:6E SP:FB
C867  EA        NOP                             A:00 X:00 Y:00 P:6E SP:FB
C868  A9 00     LDA #$00                        A:00 X:00 Y:00 P:6E SP:FB
C86A  85 01     STA $01 = FF                    A:00 X:00 Y:00 P:6E SP:FB
C86C  24 01     BIT $01 = 00                    A:00 X:00 Y:00 P:6E SP:FB
C86E  38        SEC                             A:00 X:00 Y:00 P:2E SP:FB
C86F  A9 FF     LDA #$FF                        A:00 X:00 Y:00 P:2F SP:FB
C871  48        PHA                             A:FF X:00 Y:00 P:AD SP:FB
C872  A9 00     LDA #$00                        A:FF X:00 Y:00 P:AD SP:FA
C874  68        PLA                             A:00 X:00 Y:00 P:2F SP:FA
C875  F0 09     BEQ $C880                       A:FF X:00 Y:00 P:AD SP:FB
C877  10 07     BPL $C880                       A:FF X:00 Y:00 P:AD SP:FB
C879  70 05     BVS $C880                       A:FF X:00 Y:00 P:AD SP:FB
C87B  90 03     BCC $C880                       A:FF X:00 Y:00 P:AD SP:FB
C87D  4C 84 C8  JMP $C884                       A:FF X:00 Y:00 P:AD SP:FB
C884  60        RTS                             A:FF X:00 Y:00 P:AD SP:FB
C603  20 85 C8  JSR $C885                       A:FF X:00 Y:00 P:AD SP:FD
C885  EA        NOP                             A:FF X:00 Y:00 P:AD SP:FB
C886  18        CLC                             A:FF X:00 Y:00 P:AD SP:FB
C887  A9 FF     LDA #$FF                        A:FF X:00 Y:00 P:AC SP:FB
C889  85 01     STA $01 = 00                    A:FF X:00 Y:00 P:AC SP:FB
C88B  24 01     BIT $01 = FF                    A:FF X:00 Y:00 P:AC SP:FB
C88D  A9 55     LDA #$55                        A:FF X:00 Y:00 P:EC SP:FB
C88F  09 AA     ORA #$AA                        A:55 X:00 Y:00 P:6C SP:FB
C891  B0 0B     BCS $C89E                       A:FF X:00 Y:00 P:EC SP:FB
C893  10 09     BPL $C89E                       A:FF X:00 Y:00 P:EC SP:FB
C895  C9 FF     CMP #$FF                        A:FF X:00 Y:00 P:EC SP:FB
C897  D0 05     BNE $C89E                       A:FF X:00 Y:00 P:6F SP:FB
C899  50 03     BVC $C89E                       A:FF X:00 Y:00 P:6F SP:FB
C89B  4C A2 C8  JMP $C8A2                       A:FF X:00 Y:00 P:6F SP:FB
C8A2  EA        NOP                             A:FF X:00 Y:00 P:6F SP:FB
C8A3  38        SEC                             A:FF X:00 Y:00 P:6F SP:FB
C8A4  B8        CLV                             A:FF X:00 Y:00 P:6F SP:FB
C8A5  A9 00     LDA #$00                        A:FF X:00 Y:00 P:2F SP:FB
C8A7  09 00     ORA #$00                        A:00 X:00 Y:00 P:2F SP:FB
C8A9  D0 09     BNE $C8B4                       A:00 X:00 Y:00 P:2F SP:FB
C8AB  70 07     BVS $C8B4                       A:00 X:00 Y:00 P:2F SP:FB
C8AD  90 05     BCC $C8B4                       A:00 X:00 Y:00 P:2F SP:FB
C8AF  30 03     BMI $C8B4                       A:00 X:00 Y:00 P:2F SP:FB
C8B1  4C B8 C8  JMP $C8B8                       A:00 X:00 Y:00 P:2F SP:FB
C8B8  EA        NOP                             A:00 X:00 Y:00 P:2F SP:FB
C8B9  18        CLC                             A:00 X:00 Y:00 P:2F SP:FB
C8BA  24 01     BIT $01 = FF                    A:00 X:00 Y:00 P:2E SP:FB
C8BC  A9 55     LDA #$55                        A:00 X:00 Y:00 P:EE SP:FB
C8BE  29 AA     AND #$AA                        A:55 X:00 Y:00 P:6C SP:FB
C8C0  D0 09     BNE $C8CB                       A:00 X:00 Y:00 P:6E SP:FB
C8C2  50 07     BVC $C8CB                       A:00 X:00 Y:00 P:6E SP:FB
C8C4  B0 05     BCS $C8CB                       A:00 X:00 Y:00 P:6E SP:FB
C8C6  30 03     BMI $C8CB                       A:00 X:00 Y:00 P:6E SP:FB
C8C8  4C CF C8  JMP $C8CF                       A:00 X:00 Y:00 P:6E SP:FB
C8CF  EA        NOP                             A:00 X:00 Y:00 P:6E SP:FB
C8D0  38        SEC                             A:00 X:00 Y:00 P:6E SP:FB
C8D1  B8        CLV                             A:00 X:00 Y:00 P:6F SP:FB
C8D2  A9 F8     LDA #$F8                        A:00 X:00 Y:00 P:2F SP:FB
C8D4  29 EF     AND #$EF                        A:F8 X:00 Y:00 P:AD SP:FB
C8D6  90 0B     BCC $C8E3                       A:E8 X:00 Y:00 P:AD SP:FB
C8D8  10 09     BPL $C8E3                       A:E8 X:00 Y:00 P:AD SP:FB
C8DA  C9 E8     CMP #$E8                        A:E8 X:00 Y:00 P:AD SP:FB
C8DC  D0 05     BNE $C8E3                       A:E8 X:00 Y:00 P:2F SP:FB
C8DE  70 03     BVS $C8E3                       A:E8 X:00 Y:00 P:2F SP:FB
C8E0  4C E7 C8  JMP $C8E7                       A:E8 X:00 Y:00 P:2F SP:FB
C8E7  EA        NOP                             A:E8 X:00 Y:00 P:2F SP:FB
C8E8  18        CLC                             A:E8 X:00 Y:00 P:2F SP:FB
C8E9  24 01     BIT $01 = FF                    A:E8 X:00 Y:00 P:2E SP:FB
C8EB  A9 5F     LDA #$5F                        A:E8 X:00 Y:00 P:EC SP:FB
C8ED  49 AA     EOR #$AA                        A:5F X:00 Y:00 P:6C SP:FB
C8EF  B0 0B     BCS $C8FC                       A:F5 X:00 Y:00 P:EC SP:FB
C8F1  10 09     BPL $C8FC                       A:F5 X:00 Y:00 P:EC SP:FB
C8F3  C9 F5     CMP #$F5                        A:F5 X:00 Y:00 P:EC SP:FB
C8F5  D0 05     BNE $C8FC                       A:F5 X:00 Y:00 P:6F SP:FB
C8F7  50 03     BVC $C8FC                       A:F5 X:00 Y:00 P:6F SP:FB
C8F9  4C 00 C9  JMP $C900                       A:F5 X:00 Y:00 P:6F SP:FB
C900  EA        NOP                             A:F5 X:00 Y:00 P:6F SP:FB
C901  38        SEC                             A:F5 X:00 Y:00 P:6F SP:FB
C902  B8        CLV                             A:F5 X:00 Y:00 P:6F SP:FB
C903  A9 70     LDA #$70                        A:F5 X:00 Y:00 P:2F SP:FB
C905  49 70     EOR #$70                        A:70 X:00 Y:00 P:2D SP:FB
C907  D0 09     BNE $C912                       A:00 X:00 Y:00 P:2F SP:FB
C909  70 07     BVS $C912                       A:00 X:00 Y:00 P:2F SP:FB
C90B  90 05     BCC $C912                       A:00 X:00 Y:00 P:2F SP:FB
C90D  30 03     BMI $C912                       A:00 X:00 Y:00 P:2F SP:FB
C90F  4C 16 C9  JMP $C916                       A:00 X:00 Y:00 P:2F SP:FB
C916  EA        NOP                             A:00 X:00 Y:00 P:2F SP:FB
C917  18        CLC                             A:00 X:00 Y:00 P:2F SP:FB
C918  24 01     BIT $01 = FF                    A:00 X:00 Y:00 P:2E SP:FB
C91A  A9 00     LDA #$00                        A:00 X:00 Y:00 P:EE SP:FB
C91C  69 69     ADC #$69                        A:00 X:00 Y:00 P:6E SP:FB
C91E  30 0B     BMI $C92B                       A:69 X:00 Y:00 P:2C SP:FB
C920  B0 09     BCS $C92B                       A:69 X:00 Y:00 P:2C SP:FB
C922  C9 69     CMP #$69                        A:69 X:00 Y:00 P:2C SP:FB
C924  D0 05     BNE $C92B                       A:69 X:00 Y:00 P:2F SP:FB
C926  70 03     BVS $C92B                       A:69 X:00 Y:00 P:2F SP:FB
C928  4C 2F C9  JMP $C92F                       A:69 X:00 Y:00 P:2F SP:FB
C92F  EA        NOP                             A:69 X:00 Y:00 P:2F SP:FB
C930  38        SEC                             A:69 X:00 Y:00 P:2F SP:FB
C931  F8        SED                             A:69 X:00 Y:00 P:2F SP:FB
C932  24 01     BIT $01 = FF                    A:69 X:00 Y:00 P:2F SP:FB
C934  A9 01     LDA #$01                        A:69 X:00 Y:00 P:ED SP:FB
C936  69 69     ADC #$69                        A:01 X:00 Y:00 P:6D SP:FB
C938  30 0B     BMI $C945                       A:6B X:00 Y:00 P:2C SP:FB
C93A  B0 09     BCS $C945                       A:6B X:00 Y:00 P:2C SP:FB
C93C  C9 6B     CMP #$6B                        A:6B X:00 Y:00 P:2C SP:FB
C93E  D0 05     BNE $C945                       A:6B X:00 Y:00 P:2F SP:FB
C940  70 03     BVS $C945                       A:6B X:00 Y:00 P:2F SP:FB
C942  4C 49 C9  JMP $C949                       A:6B X:00 Y:00 P:2F SP:FB
C949  EA        NOP                             A:6B X:00 Y:00 P:2F SP:FB
C94A  D8        CLD                             A:6B X:00 Y:00 P:2F SP:FB
C94B  38        SEC                             A:6B X:00 Y:00 P:27 SP:FB
C94C  B8        CLV                             A:6B X:00 Y:00 P:27 SP:FB
C94D  A9 7F     LDA #$7F                        A:6B X:00 Y:00 P:27 SP:FB
C94F  69 7F     ADC #$7F                        A:7F X:00 Y:00 P:25 SP:FB
C951  10 0B     BPL $C95E                       A:FF X:00 Y:00 P:E4 SP:FB
C953  B0 09     BCS $C95E                       A:FF X:00 Y:00 P:E4 SP:FB
C955  C9 FF     CMP #$FF                        A:FF X:00 Y:00 P:E4 SP:FB
C957  D0 05     BNE $C95E                       A:FF X:00 Y:00 P:67 SP:FB
C959  50 03     BVC $C95E                       A:FF X:00 Y:00 P:67 SP:FB
C95B  4C 62 C9  JMP $C962                       A:FF X:00 Y:00 P:67 SP:FB
C962  EA        NOP                             A:FF X:00 Y:00 P:67 SP:FB
C963  18        CLC                             A:FF X:00 Y:00 P:67 SP:FB
C964  24 01     BIT $01 = FF                    A:FF X:00 Y:00 P:66 SP:FB
C966  A9 7F     LDA #$7F                        A:FF X:00 Y:00 P:E4 SP:FB
C968  69 80     ADC #$80                        A:7F X:00 Y:00 P:64 SP:FB
C96A  10 0B     BPL $C977                       A:FF X:00 Y:00 P:A4 SP:FB
C96C  B0 09     BCS $C977                       A:FF X:00 Y:00 P:A4 SP:FB
C96E  C9 FF     CMP #$FF                        A:FF X:00 Y:00 P:A4 SP:FB
C970  D0 05     BNE $C977                       A:FF X:00 Y:00 P:27 SP:FB
C972  70 03     BVS $C977                       A:FF X:00 Y:00 P:27 SP:FB
C974  4C 7B C9  JMP $C97B                       A:FF X:00 Y:00 P:27 SP:FB
C97B  EA        NOP                             A:FF X:00 Y:00 P:27 SP:FB
C97C  38        SEC                             A:FF X:00 Y:00 P:27 SP:FB
C97D  B8        CLV                             A:FF X:00 Y:00 P:27 SP:FB
C97E  A9 7F     LDA #$7F                        A:FF X:00 Y:00 P:27 SP:FB
C980  69 80     ADC #$80                        A:7F X:00 Y:00 P:25 SP:FB
C982  D0 09     BNE $C98D                       A:00 X:00 Y:00 P:27 SP:FB
C984  30 07     BMI $C98D                       A:00 X:00 Y:00 P:27 SP:FB
C986  70 05     BVS $C98D                       A:00 X:00 Y:00 P:27 SP:FB
C988  90 03     BCC $C98D                       A:00 X:00 Y:00 P:27 SP:FB
C98A  4C 91 C9  JMP $C991                       A:00 X:00 Y:00 P:27 SP:FB
C991  EA        NOP                             A:00 X:00 Y:00 P:27 SP:FB
C992  38        SEC                             A:00 X:00 Y:00 P:27 SP:FB
C993  B8        CLV                             A:00 X:00 Y:00 P:27 SP:FB
C994  A9 9F     LDA #$9F                        A:00 X:00 Y:00 P:27 SP:FB
C996  F0 09     BEQ $C9A1                       A:9F X:00 Y:00 P:A5 SP:FB
C998  10 07     BPL $C9A1                       A:9F X:00 Y:00 P:A5 SP:FB
C99A  70 05     BVS $C9A1                       A:9F X:00 Y:00 P:A5 SP:FB
C99C  90 03     BCC $C9A1                       A:9F X:00 Y:00 P:A5 SP:FB
C99E  4C A5 C9  JMP $C9A5                       A:9F X:00 Y:00 P:A5 SP:FB
C9A5  EA        NOP                             A:9F X:00 Y:00 P:A5 SP:FB
C9A6  18        CLC                             A:9F X:00 Y:00 P:A5 SP:FB
C9A7  24 01     BIT $01 = FF                    A:9F X:00 Y:00 P:A4 SP:FB
C9A9  A9 00     LDA #$00                        A:9F X:00 Y:00 P:E4 SP:FB
C9AB  D0 09     BNE $C9B6                       A:00 X:00 Y:00 P:66 SP:FB
C9AD  30 07     BMI $C9B6                       A:00 X:00 Y:00 P:66 SP:FB
C9AF  50 05     BVC $C9B6                       A:00 X:00 Y:00 P:66 SP:FB
C9B1  B0 03     BCS $C9B6                       A:00 X:00 Y:00 P:66 SP:FB
C9B3  4C BA C9  JMP $C9BA                       A:00 X:00 Y:00 P:66 SP:FB
C9BA  EA        NOP                             A:00 X:00 Y:00 P:66 SP:FB
C9BB  24 01     BIT $01 = FF                    A:00 X:00 Y:00 P:66 SP:FB
C9BD  A9 40     LDA #$40                        A:00 X:00 Y:00 P:E6 SP:FB
C9BF  C9 40     CMP #$40                        A:40 X:00 Y:00 P:64 SP:FB
C9C1  30 09     BMI $C9CC                       A:40 X:00 Y:00 P:67 SP:FB
C9C3  90 07     BCC $C9CC                       A:40 X:00 Y:00 P:67 SP:FB
C9C5  D0 05     BNE $C9CC                       A:40 X:00 Y:00 P:67 SP:FB
C9C7  50 03     BVC $C9CC                       A:40 X:00 Y:00 P:67 SP:FB
C9C9  4C D0 C9  JMP $C9D0                       A:40 X:00 Y:00 P:67 SP:FB
C9D0  EA        NOP                             A:40 X:00 Y:00 P:67 SP:FB
C9D1  B8        CLV                             A:40 X:00 Y:00 P:67 SP:FB
C9D2  C9 3F     CMP #$3F                        A:40 X:00 Y:00 P:27 SP:FB
C9D4  F0 09     BEQ $C9DF                       A:40 X:00 Y:00 P:25 SP:FB
C9D6  30 07     BMI $C9DF                       A:40 X:00 Y:00 P:25 SP:FB
C9D8  90 05     BCC $C9DF                       A:40 X:00 Y:00 P:25 SP:FB
C9DA  70 03     BVS $C9DF                       A:40 X:00 Y:00 P:25 SP:FB
C9DC  4C E3 C9  JMP $C9E3                       A:40 X:00 Y:00 P:25 SP:FB
C9E3  EA        NOP                             A:40 X:00 Y:00 P:25 SP:FB
C9E4  C9 41     CMP #$41                        A:40 X:00 Y:00 P:25 SP:FB
C9E6  F0 07     BEQ $C9EF                       A:40 X:00 Y:00 P:A4 SP:FB
C9E8  10 05     BPL $C9EF                       A:40 X:00 Y:00 P:A4 SP:FB
C9EA  10 03     BPL $C9EF                       A:40 X:00 Y:00 P:A4 SP:FB
C9EC  4C F3 C9  JMP $C9F3                       A:40 X:00 Y:00 P:A4 SP:FB
C9F3  EA        NOP                             A:40 X:00 Y:00 P:A4 SP:FB
C9F4  A9 80     LDA #$80                        A:40 X:00 Y:00 P:A4 SP:FB
C9F6  C9 00     CMP #$00                        A:80 X:00 Y:00 P:A4 SP:FB
C9F8  F0 07     BEQ $CA01                       A:80 X:00 Y:00 P:A5 SP:FB
C9FA  10 05     BPL $CA01                       A:80 X:00 Y:00 P:A5 SP:FB
C9FC  90 03     BCC $CA01                       A:80 X:00 Y:00 P:A5 SP:FB
C9FE  4C 05 CA  JMP $CA05                       A:80 X:00 Y:00 P:A5 SP:FB
CA05  EA        NOP                             A:80 X:00 Y:00 P:A5 SP:FB
CA06  C9 80     CMP #$80                        A:80 X:00 Y:00 P:A5 SP:FB
CA08  D0 07     BNE $CA11                       A:80 X:00 Y:00 P:27 SP:FB
CA0A  30 05     BMI $CA11                       A:80 X:00 Y:00 P:27 SP:FB
CA0C  90 03     BCC $CA11                       A:80 X:00 Y:00 P:27 SP:FB
CA0E  4C 15 CA  JMP $CA15                       A:80 X:00 Y:00 P:27 SP:FB
CA15  EA        NOP                             A:80 X:00 Y:00 P:27 SP:FB
CA16  C9 81     CMP #$81                        A:80 X:00 Y:00 P:27 SP:FB
CA18  B0 07     BCS $CA21                       A:80 X:00 Y:00 P:A4 SP:FB
CA1A  F0 05     BEQ $CA21                       A:80 X:00 Y:00 P:A4 SP:FB
CA1C  10 03     BPL $CA21                       A:80 X:00 Y:00 P:A4 SP:FB
CA1E  4C 25 CA  JMP $CA25                       A:80 X:00 Y:00 P:A4 SP:FB
CA25  EA        NOP                             A:80 X:00 Y:00 P:A4 SP:FB
CA26  C9 7F     CMP #$7F                        A:80 X:00 Y:00 P:A4 SP:FB
CA28  90 07     BCC $CA31                       A:80 X:00 Y:00 P:25 SP:FB
CA2A  F0 05     BEQ $CA31                       A:80 X:00 Y:00 P:25 SP:FB
CA2C  30 03     BMI $CA31                       A:80 X:00 Y:00 P:25 SP:FB
CA2E  4C 35 CA  JMP $CA35                       A:80 X:00 Y:00 P:25 SP:FB
CA35  EA        NOP                             A:80 X:00 Y:00 P:25 SP:FB
CA36  24 01     BIT $01 = FF                    A:80 X:00 Y:00 P:25 SP:FB
CA38  A0 40     LDY #$40                        A:80 X:00 Y:00 P:E5 SP:FB
CA3A  C0 40     CPY #$40                        A:80 X:00 Y:40 P:65 SP:FB
CA3C  D0 09     BNE $CA47                       A:80 X:00 Y:40 P:67 SP:FB
CA3E  30 07     BMI $CA47                       A:80 X:00 Y:40 P:67 SP:FB
CA40  90 05     BCC $CA47                       A:80 X:00 Y:40 P:67 SP:FB
CA42  50 03     BVC $CA47                       A:80 X:00 Y:40 P:67 SP:FB
CA44  4C 4B CA  JMP $CA4B                       A:80 X:00 Y:40 P:67 SP:FB
CA4B  EA        NOP                             A:80 X:00 Y:40 P:67 SP:FB
CA4C  B8        CLV                             A:80 X:00 Y:40 P:67 SP:FB
CA4D  C0 3F     CPY #$3F                        A:80 X:00 Y:40 P:27 SP:FB
CA4F  F0 09     BEQ $CA5A                       A:80 X:00 Y:40 P:25 SP:FB
CA51  30 07     BMI $CA5A                       A:80 X:00 Y:40 P:25 SP:FB
CA53  90 05     BCC $CA5A                       A:80 X:00 Y:40 P:25 SP:FB
CA55  70 03     BVS $CA5A                       A:80 X:00 Y:40 P:25 SP:FB
